EXP_ID,DATA_NAME,PATTERN_NAME,PATTERN_ADJ,PATTERN_SIZE,ADJMAT_TYPE,PRUNING_TYPE,PARALLEL_TYPE,CODEGEN_TIME,COMPILE_TIME
-1,wiki,P1,0111101111011110,4,Vertex-Induced,CostModel,NestedRt,0.00105235,1.68501
-1,wiki,P1,0111101111011110,4,Vertex-Induced,CostModel,NestedRt,0.000417594,1.69474
-1,wiki,P1,0111101111011110,4,Vertex-Induced,CostModel,NestedRt,0.000442093,1.70631
-1,wiki,P1,0111101111011110,4,Vertex-Induced,CostModel,NestedRt,0.000436013,1.69408
-1,wiki,P1,0111101111011110,4,Vertex-Induced,CostModel,NestedRt,0.000434372,1.7084
-1,wiki,P1,0111101111011110,4,Vertex-Induced,CostModel,NestedRt,0.000450114,1.69007
-1,wiki,P1,0111101111011110,4,Vertex-Induced,CostModel,NestedRt,0.000439087,1.71182
-1,wiki,P1,0111101111011110,4,Vertex-Induced,CostModel,NestedRt,0.000432272,1.69793
-1,wiki,P1,0111101111011110,4,Vertex-Induced,CostModel,NestedRt,0.00043579,1.70524
-1,wiki,P1,0111101111011110,4,Vertex-Induced,CostModel,NestedRt,0.00041959,1.68824
-1,wiki,P1,0111101111011110,4,Vertex-Induced,CostModel,NestedRt,0.000413599,1.69843
-1,wiki,P1,0111101111011110,4,Vertex-Induced,CostModel,NestedRt,0.000417803,1.07958
-1,wiki,P1,0111101111011110,4,Edge-Induced,CostModel,NestedRt,0.00042026,1.08109
-1,wiki,P2,0110010111110110110001100,5,Edge-Induced,CostModel,NestedRt,0.00108302,0.711836
-1,wiki,P3,0110010111110110110101110,5,Edge-Induced,CostModel,NestedRt,0.00319657,1.57772
-1,wiki,P4,0111110111110111110111110,5,Edge-Induced,CostModel,NestedRt,0.00231998,1.23085
-1,wiki,P5,011111101111110110111000111000110000,6,Edge-Induced,CostModel,NestedRt,0.0268828,1.82344
-1,wiki,P6,011110101101110011110000101000011000,6,Edge-Induced,CostModel,NestedRt,0.0288285,1.89126
-1,wiki,P7,011110101011110010100001111000010100,6,Edge-Induced,CostModel,NestedRt,0.0992086,1.95316
-1,wiki,P8,0111111101111111011111110111111101111111001111100,7,Edge-Induced,CostModel,NestedRt,0.0341883,1.86993
-1,wiki,P1,0111101111011110,4,Vertex-Induced,CostModel,NestedRt,0.000746105,2.56864
-1,wiki,P1,0111101111011110,4,Vertex-Induced,CostModel,NestedRt,0.000417176,1.02726
-1,wiki,P2,0110010111110110110001100,5,Vertex-Induced,CostModel,NestedRt,0.000899138,1.45998
-1,wiki,P3,0110010111110110110101110,5,Vertex-Induced,CostModel,NestedRt,0.00320231,1.69008
-1,wiki,P4,0111110111110111110111110,5,Vertex-Induced,CostModel,NestedRt,0.00231336,1.21375
-1,wiki,P5,011111101111110110111000111000110000,6,Vertex-Induced,CostModel,NestedRt,0.0267848,1.91867
-1,wiki,P6,011110101101110011110000101000011000,6,Vertex-Induced,CostModel,NestedRt,0.0286933,1.88943
-1,wiki,P7,011110101011110010100001111000010100,6,Vertex-Induced,CostModel,NestedRt,0.0992137,1.94104
-1,wiki,P8,0111111101111111011111110111111101111111001111100,7,Vertex-Induced,CostModel,NestedRt,0.0341292,1.85017
-1,wiki,P1,0111101111011110,4,Edge-Induced-IEP,CostModel,NestedRt,0.000412773,1.03161
-1,wiki,P2,0110010111110110110001100,5,Edge-Induced-IEP,CostModel,NestedRt,0.00086189,0.462905
-1,wiki,P3,0110010111110110110101110,5,Edge-Induced-IEP,CostModel,NestedRt,0.00318685,1.35663
-1,wiki,P4,0111110111110111110111110,5,Edge-Induced-IEP,CostModel,NestedRt,0.0023229,1.21533
-1,wiki,P5,011111101111110110111000111000110000,6,Edge-Induced-IEP,CostModel,NestedRt,0.0267502,1.42135
-1,wiki,P6,011110101101110011110000101000011000,6,Edge-Induced-IEP,CostModel,NestedRt,0.028851,1.465
-1,wiki,P7,011110101011110010100001111000010100,6,Edge-Induced-IEP,CostModel,NestedRt,0.0993448,1.84164
-1,wiki,P8,0111111101111111011111110111111101111111001111100,7,Edge-Induced-IEP,CostModel,NestedRt,0.0343546,1.77241
